X;time;peak;backend
[1, 16, 1, 1];0.003882761055137962;0.12859969945901367;mlir
[1, 16, 1, 1];0.00388147821649909;0.12864220199392734;tvm
[1, 16, 1, 4];0.003886250779032707;0.128484221207718;mlir
[1, 16, 1, 4];0.0038846012903377414;0.1285387784851639;tvm
[1, 16, 2, 1];0.003884093021042645;0.1285555989665425;mlir
[1, 16, 2, 1];0.0038971048779785633;0.12812637083067266;tvm
[1, 16, 2, 4];0.0038842008798383176;0.12855202915836048;mlir
[1, 16, 2, 4];0.0038898178609088063;0.12836639724957316;tvm
[1, 16, 4, 1];0.0038778569432906806;0.12876233240780385;mlir
[1, 16, 4, 1];0.0038954041083343327;0.12818231199520244;tvm
[1, 16, 4, 4];0.003877827723044902;0.1287633026590034;mlir
[1, 16, 4, 4];0.003894411027431488;0.12821499868523803;tvm
[1, 16, 8, 1];0.0038693029200658202;0.1290469924627692;mlir
[1, 16, 8, 1];0.003860064607579261;0.1293558412938175;tvm
[1, 16, 8, 4];0.0038690429646521807;0.12905566294397375;mlir
[1, 16, 8, 4];0.0038615617668256164;0.1293056889705977;tvm
[1, 16, 16, 1];0.0038674964453093708;0.12910726921740268;mlir
[1, 16, 16, 1];0.0038605210138484836;0.1293405483277346;tvm
[1, 16, 16, 4];0.0038680710131302476;0.1290880914716783;mlir
[1, 16, 16, 4];0.0038650708738714457;0.12918829202781457;tvm
[1, 16, 32, 1];0.003868489060550928;0.12907414159542543;mlir
[1, 16, 32, 1];0.0038584701833315194;0.12940929462639392;tvm
[1, 16, 32, 4];0.0038660280988551676;0.1291563051261234;mlir
[1, 16, 32, 4];0.0038596802623942494;0.12936872248898768;tvm
[1, 16, 64, 1];0.0038653555675409734;0.12917877696813254;mlir
[1, 16, 64, 1];0.0038612657808698714;0.12931560091919309;tvm
[1, 16, 64, 4];0.0038702715537510812;0.12901469517764463;mlir
[1, 16, 64, 4];0.0038574562058784068;0.12944331137213802;tvm
[1, 16, 128, 1];0.003938859736081213;0.12676813550580557;mlir
[1, 16, 128, 1];0.003850822104141116;0.129666313129589;tvm
[1, 16, 128, 4];0.003959756635595113;0.126099139596962;mlir
[1, 16, 128, 4];0.003853869275189936;0.12956378878141783;tvm
[1, 16, 256, 1];0.003939430636819452;0.1267497643174747;mlir
[1, 16, 256, 1];0.003853517526295036;0.12957561535784107;tvm
[1, 16, 256, 4];0.003951528749894351;0.12636170362552843;mlir
[1, 16, 256, 4];0.0038586391019634902;0.12940362950964293;tvm
[1, 16, 512, 1];0.0041146447183564305;0.12135237400553889;mlir
[1, 16, 512, 1];0.0039878126117400825;0.12521197793795671;tvm
[1, 16, 512, 4];0.004017438041046262;0.12428863859512475;mlir
[1, 16, 512, 4];0.004060088656842709;0.12298300528988891;tvm
[1, 32, 1, 1];0.002003299130592495;0.2492497985631459;mlir
[1, 32, 1, 1];0.0020000020158477128;0.2496607007419761;tvm
[1, 32, 1, 4];0.0020041843235958368;0.24913971179359343;mlir
[1, 32, 1, 4];0.0019974420429207385;0.24998067229614163;tvm
[1, 32, 2, 1];0.0020062613184563816;0.24888178831363966;mlir
[1, 32, 2, 1];0.0019995086186099797;0.2497223068280765;tvm
[1, 32, 2, 4];0.0020047958532813936;0.24906371586145726;mlir
[1, 32, 2, 4];0.0019974586612079293;0.2499785925281419;tvm
[1, 32, 4, 1];0.002005858172196895;0.24893180967776388;mlir
[1, 32, 4, 1];0.0020004887774121016;0.24959995297141535;tvm
[1, 32, 4, 4];0.0020059288071934134;0.2489230440139742;mlir
[1, 32, 4, 4];0.001999950152821839;0.24966717498302857;tvm
[1, 32, 8, 1];0.0019942132057622075;0.25038541682460635;mlir
[1, 32, 8, 1];0.0019981586665380746;0.24989101872826186;tvm
[1, 32, 8, 4];0.0019932076684199274;0.2505117317543392;mlir
[1, 32, 8, 4];0.001992159232031554;0.2506435714241119;tvm
[1, 32, 16, 1];0.001994532300159335;0.2503453590207669;mlir
[1, 32, 16, 1];0.0019898022583220154;0.2509404654023154;tvm
[1, 32, 16, 4];0.0019937091565225273;0.2504487192268472;mlir
[1, 32, 16, 4];0.0019875817524734885;0.2512208135039039;tvm
[1, 32, 32, 1];0.0019955102761741728;0.25022266771745894;mlir
[1, 32, 32, 1];0.0019888505921699107;0.25106054055932164;tvm
[1, 32, 32, 4];0.0019953376904595643;0.2502443105993259;mlir
[1, 32, 32, 4];0.0019878096354659647;0.2511920134871759;tvm
[1, 32, 64, 1];0.001995716040255502;0.25019686903853267;mlir
[1, 32, 64, 1];0.0019893084245268255;0.2510027598564425;tvm
[1, 32, 64, 4];0.0019926580134779215;0.25058083292998395;mlir
[1, 32, 64, 4];0.001990335702430457;0.2508732090532106;tvm
[1, 32, 128, 1];0.002016375830862671;0.24763335144137222;mlir
[1, 32, 128, 1];0.001988144707866013;0.2511496787866387;tvm
[1, 32, 128, 4];0.0020060934766661376;0.24890261125404378;mlir
[1, 32, 128, 4];0.0019889048126060516;0.25105369628405994;tvm
[1, 32, 256, 1];0.0020204174797981977;0.24713798497317385;mlir
[1, 32, 256, 1];0.0020064809068571776;0.24885455079859714;tvm
[1, 32, 256, 4];0.0020231185771990567;0.24680802716625738;mlir
[1, 32, 256, 4];0.001997047191252932;0.2500300979110234;tvm
[1, 32, 512, 1];0.002288369636517018;0.21819984708497134;mlir
[1, 32, 512, 1];0.0031892465194687247;0.15656422346588733;tvm
[1, 32, 512, 4];0.0021938106510788202;0.22760483203797013;mlir
[1, 32, 512, 4];0.0030798041843809187;0.1621278090646776;tvm
[1, 64, 1, 1];0.001574508409248665;0.31712876338347074;mlir
[1, 64, 1, 1];0.0015760361857246608;0.316821345400973;tvm
[1, 64, 1, 4];0.0015738196088932455;0.31726755845483595;mlir
[1, 64, 1, 4];0.0015652484144084156;0.31900489415325367;tvm
[1, 64, 2, 1];0.0015697738563176244;0.3180852469623963;mlir
[1, 64, 2, 1];0.0015660513890907168;0.31884132809448984;tvm
[1, 64, 2, 4];0.0015714321925770491;0.31774957081861005;mlir
[1, 64, 2, 4];0.0015656051109544933;0.3189322143036989;tvm
[1, 64, 4, 1];0.0015706955455243587;0.3178985935146406;mlir
[1, 64, 4, 1];0.0015655957395210862;0.31893412338656896;tvm
[1, 64, 4, 4];0.0015705543337389827;0.317927176434056;mlir
[1, 64, 4, 4];0.0015658418706152588;0.3188839908628249;tvm
[1, 64, 8, 1];0.0015692647139076144;0.31818844860058504;mlir
[1, 64, 8, 1];0.0015644395316485316;0.3191698334519476;tvm
[1, 64, 8, 4];0.0015685445396229625;0.31833454017310137;mlir
[1, 64, 8, 4];0.0015634087903890759;0.31938025923318597;tvm
[1, 64, 16, 1];0.0015684598474763334;0.31835172928737604;mlir
[1, 64, 16, 1];0.0015640095516573638;0.31925758012972416;tvm
[1, 64, 16, 4];0.0015695615438744426;0.31812827391867354;mlir
[1, 64, 16, 4];0.001564396923640743;0.31917852638054145;tvm
[1, 64, 32, 1];0.001570931519381702;0.3178508411101404;mlir
[1, 64, 32, 1];0.0015665876562707126;0.3187321837774138;tvm
[1, 64, 32, 4];0.001567730214446783;0.3184998924946435;mlir
[1, 64, 32, 4];0.0015644773957319558;0.3191621087809276;tvm
[1, 64, 64, 1];0.0015748035802971572;0.3170693228089343;mlir
[1, 64, 64, 1];0.0015659730415791273;0.31885728010897846;tvm
[1, 64, 64, 4];0.0015765097341500223;0.31672617932239727;mlir
[1, 64, 64, 4];0.001566113467561081;0.318828689685877;tvm
[1, 64, 128, 1];0.0015853781660553068;0.31495444774813786;mlir
[1, 64, 128, 1];0.0016030878177843988;0.31147507904589367;tvm
[1, 64, 128, 4];0.0015858183323871344;0.3148670276817111;mlir
[1, 64, 128, 4];0.0015968121588230133;0.3126992126174362;tvm
[1, 64, 256, 1];0.0015963421610649675;0.31279127804830525;mlir
[1, 64, 256, 1];0.001627018180442974;0.3068938692657748;tvm
[1, 64, 256, 4];0.0016054142033681273;0.31102372441600257;mlir
[1, 64, 256, 4];0.0015925827901810408;0.31352963741693024;tvm
[1, 128, 1, 1];0.001487726767663844;0.33562742542166046;mlir
[1, 128, 1, 1];0.0014773466682527214;0.3379856031708927;tvm
[1, 128, 1, 4];0.0014873319450998679;0.33571652004581765;mlir
[1, 128, 1, 4];0.0014782792422920465;0.3377723845920442;tvm
[1, 128, 2, 1];0.0014840162330074236;0.3364666057257387;mlir
[1, 128, 2, 1];0.0014787711115786806;0.3376600346410929;tvm
[1, 128, 2, 4];0.001482059233239852;0.33691089638189653;mlir
[1, 128, 2, 4];0.001478128499002196;0.33780683147572743;tvm
[1, 128, 4, 1];0.0014830435247858986;0.33668728962893385;mlir
[1, 128, 4, 1];0.0014794234302826226;0.3375111509938142;tvm
[1, 128, 4, 4];0.0014835819602012634;0.3365650959345492;mlir
[1, 128, 4, 4];0.0014793717273278162;0.33752294676053335;tvm
[1, 128, 8, 1];0.001483005762565881;0.3366958627982559;mlir
[1, 128, 8, 1];0.0014906731084920466;0.33496405208987434;tvm
[1, 128, 8, 4];0.0014840410149190575;0.3364609870901302;mlir
[1, 128, 8, 4];0.0014881574898026884;0.33553028371218213;tvm
[1, 128, 16, 1];0.0014808718842687085;0.3371810283294577;mlir
