X;time;peak
[1, 16, 1, 1];0.003966769843827933;0.12587619761676394
[1, 16, 1, 4];0.007243632222525775;0.06893253128025276
[1, 16, 2, 1];0.0076953856041654944;0.0648858849245479
[1, 16, 2, 4];0.0072765804361552;0.06862040612935717
[1, 16, 4, 1];0.007656900794245303;0.06521201177598908
[1, 16, 4, 4];0.007657250622287393;0.06520903250947088
[1, 16, 8, 1];0.005126495787408203;0.0974002370173304
[1, 16, 8, 4];0.007642606506124139;0.06533398054208213
[1, 16, 16, 1];0.007639911258593202;0.06535702940270133
[1, 16, 16, 4];0.0076432040659710765;0.06532887261050323
[1, 16, 32, 1];0.007641950971446931;0.06533958496037863
[1, 16, 32, 4];0.0076447027968242764;0.06531606499723319
[1, 16, 64, 1];0.00764725252520293;0.06529428747335038
[1, 16, 64, 4];0.007772310054861009;0.06424369347561161
[1, 16, 128, 1];0.009930969681590796;0.05027926987709026
[1, 16, 128, 4];0.007662288029678166;0.06516616222568149
[1, 16, 256, 1];0.007659427705220878;0.06519049777329357
[1, 16, 256, 4];0.007730630226433277;0.06459006447554272
[1, 16, 512, 1];0.007665972458198667;0.06513484198966642
[1, 16, 512, 4];0.007707137614488602;0.06478694552219134
[1, 32, 1, 1];0.004117392469197512;0.12127138923417316
[1, 32, 1, 4];0.004078773665241897;0.12241961573327256
[1, 32, 2, 1];0.005669432401191443;0.08807264456614232
[1, 32, 2, 4];0.005657361645717174;0.08826055960907314
[1, 32, 4, 1];0.005655853834468871;0.08828408925967143
[1, 32, 4, 4];0.004070698516443372;0.12266246265718778
[1, 32, 8, 1];0.004080766986589879;0.122359817750625
[1, 32, 8, 4];0.005662483454216272;0.08818072649556458
[1, 32, 16, 1];0.004075672652106732;0.12251275982721606
[1, 32, 16, 4];0.004076955083291978;0.12247422268844875
[1, 32, 32, 1];0.0040902282926253974;0.12207678130391218
[1, 32, 32, 4];0.004079225123859942;0.12240606723107855
[1, 32, 64, 1];0.004787765850778669;0.10429121229491548
[1, 32, 64, 4];0.004787429177667946;0.10429854651241748
[1, 32, 128, 1];0.0056903939112089574;0.08774821436848841
[1, 32, 128, 4];0.005689440469723195;0.08776291929216688
[1, 32, 256, 1];0.005700611509382725;0.08759093720736155
[1, 32, 256, 4];0.004818997404072434;0.1036153089312599
[1, 32, 512, 1];0.004929384565912187;0.10129497873118463
[1, 32, 512, 4];0.005791160045191646;0.08622139620825844
[1, 64, 1, 1];0.0038274078397080302;0.13045955008546856
[1, 64, 1, 4];0.0038323152693919837;0.13029249152591893
[1, 64, 2, 1];0.003685701929498464;0.13547538957656582
[1, 64, 2, 4];0.0037027240032330155;0.13485258537388264
[1, 64, 4, 1];0.003846025269012898;0.12982803539667284
[1, 64, 4, 4];0.004854300292208791;0.10286176682627614
[1, 64, 8, 1];0.004855875973589718;0.1028283892499791
[1, 64, 8, 4];0.0038324890192598104;0.1302865845805715
[1, 64, 16, 1];0.0038351722760125995;0.13019543030308045
[1, 64, 16, 4];0.004890469368547201;0.10210101876381592
[1, 64, 32, 1];0.004867673618718982;0.1025791669436766
[1, 64, 32, 4];0.0037137953913770616;0.1344505693343429
